# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-89.36034111654584,90.0,-0.007767622590984711,-128.73951949733294,0.0,0.0
 0.06075271628091372,0.009227231338773,0.15188179070228433,2.5000000000000004,-89.36034111654584,90.0,-0.007767622590984711,-128.73951949733294,0.0,0.0
 0.08584867273809095,0.018424986527229605,0.36650347254751175,8.552042326477956,-89.36444115479287,90.0,-0.007789774656237597,-128.3734182476329,-0.1633744565199023,-6.509991232997163
 0.10505850318890107,0.027593222730730844,0.47726793981748,5.76603044746275,-89.36853972155842,90.0,-0.00781219323260295,-128.0050262743961,-0.2133577792915695,-2.6019658476246073
 0.12121369083421825,0.03673189711413362,0.5656804850577986,5.472703083454822,-89.37263686024247,90.0,-0.007834877473520503,-127.63441462609914,-0.25361133364614813,-2.4916797773157886
 0.13541191504707906,0.04584096684179339,0.6415640147032429,5.3445789070374525,-89.37673261474029,90.0,-0.007857828821439037,-127.26161675495317,-0.2884694900170379,-2.455106768867273
 0.1482165835223113,0.05492038907756568,0.7090712464234747,5.272079620867148,-89.3808270295201,90.0,-0.007881053451138324,-126.88659025089622,-0.31975953049661265,-2.4436431556270533
 0.1599626468708324,0.06397012098480655,0.7704480759828592,5.225310620099133,-89.38492014958342,90.0,-0.007904557671528915,-126.5092926833663,-0.3484673921697238,-2.4440411073319828
 0.17086851052944144,0.07299011972637458,0.827077893500684,5.1926027401893435,-89.38901202047097,90.0,-0.007928343134706016,-126.12975788378009,-0.37519916034458184,-2.4511372057871
 0.1810859933452966,0.08198034246463198,0.8798862596868445,5.168432101908139,-89.39310268830698,90.0,-0.007952418741103025,-125.74790545565473,-0.40035964921509254,-2.4624938768154734
 0.1907257154779562,0.09094074636144571,0.9295292720581309,5.149838521080881,-89.39719219977768,90.0,-0.00797678144782067,-125.36384587460513,-0.4242354099453993,-2.4768100575653738
 0.1998712471349383,0.09987128857818893,0.9764924065322362,5.13509069079123,-89.40128060219376,90.0,-0.008001440323596764,-124.97749899489163,-0.44703824440358647,-2.4933306573575074
 0.2085875607755584,0.10877192627574314,1.0211470197762422,5.123107667432354,-89.40536794341746,90.0,-0.008026399721971845,-124.58886108830998,-0.46893003077033935,-2.511587727262584
 0.21692636226562972,0.11764261661449801,1.0637848076029688,5.11317937925416,-89.409454271989,90.0,-0.008051661595262058,-124.19796686294451,-0.4900378761133947,-2.5312804685646575
 0.2249296038802835,0.12648331675435306,1.1046399153647837,5.1048199878171925,-89.413539637002,90.0,-0.008077235406100865,-123.80473636371721,-0.5104637857664406,-2.552204548672688
 0.2326318841902123,0.13529398385472083,1.1439037201762392,5.097685780254137,-89.41762408826584,90.0,-0.008103120773742098,-123.40924292285854,-0.530291173455055,-2.5742230730106535
 0.24006213785145317,0.1440745750745252,1.1817350551041617,5.091526703222209,-89.42170767619233,90.0,-0.008129327400952131,-123.01140680874497,-0.5495893024202312,-2.597236897286935
 0.24724485642553196,0.1528250475722047,1.218267485692459,5.0861564756465025,-89.42579045187283,90.0,-0.00815585756321146,-122.61126340787132,-0.5684164899954924,-2.6211785107668537
 0.25420099016779163,0.16154535850571414,1.253614616483306,5.081433465850051,-89.42987246711579,90.0,-0.008182718696163188,-122.20877157476916,-0.5868224209315873,-2.646000151531845
 0.26094862715295053,0.17023546503252387,1.2878740433018558,5.07724806386322,-89.43395377435607,90.0,-0.008209908043833035,-121.8040439260658,-0.6048498532546601,-2.671666001405125
 0.26750351347944784,0.1788953243096227,1.321130351580993,5.0735141118622575,-89.43803442681573,90.0,-0.00823744097760523,-121.39692444761135,-0.6225359611735664,-2.6981563124004726
 0.27387945778646483,0.1875248934935198,1.3534574281647815,5.070162947974837,-89.44211447839038,90.0,-0.008265320129865573,-120.987449280596,-0.6399133019659029,-2.725453667029679
 0.2800886500665415,0.19612412974024374,1.3849202696325202,5.06713917826205,-89.44619398372899,90.0,-0.008293548158007761,-120.5756548280797,-0.6570106311090337,-2.75355124659141
 0.28614191598250405,0.20469299020534587,1.4155764151226058,5.064397618687924,-89.45027299826766,90.0,-0.008322138403214803,-120.16142384915213,-0.6738535189593855,-2.7824463825283026
 0.2920489219592503,0.21323143204390055,1.4454770948543858,5.061901045891632,-89.45435157817498,90.0,-0.008351085754076103,-119.74490856017223,-0.69046483504124,-2.812138018354321
 0.2978183422225751,0.22173941241050696,1.47466816045456,5.059618517606837,-89.45842978042751,90.0,-0.008380401116528324,-119.326030591512,-0.7068651729980482,-2.8426318777750574
 0.303457996078067,0.2302168884592902,1.5031908457516117,5.057524101284369,-89.46250766280959,90.0,-0.0084100956609167,-118.90471170823758,-0.7230731684164788,-2.8739344352928926
 0.3089749616677068,0.23866381734390216,1.5310823943644394,5.055595899529371,-89.46658528394221,90.0,-0.00844016711324206,-118.48106637972448,-0.7391057758782469,-2.9060553670799143
 0.3143756709527786,0.24708015621752416,1.5583765815512127,5.053815294635091,-89.47066270326563,90.0,-0.00847062412747061,-118.05505532431259,-0.754978486751334,-2.939004866816563
 0.3196659895784139,0.2554658622328665,1.5851041513279847,5.052166356721491,-89.47473998108714,90.0,-0.00850148112161555,-117.62656244185936,-0.7707055302414416,-2.972797028500123
 0.32485128446239603,0.2638208925421713,1.611293185102027,5.050635375616291,-89.47881717863065,90.0,-0.008532733251487866,-117.19574144962618,-0.7863000339859046,-3.0074478102751465
